INSERT INTO Payment VALUES ('P0001', '05-JAN-2018', 3349.00, 'E-WALLET', 'BSN', '347877242169', '28-JAN-2018', 'B0001');
INSERT INTO Payment VALUES ('P0178', '21-APR-2021', 2095.00, 'CASH', 'PUBLIC BANK', '118998415015', '05-MAY-2021', 'B0178');
INSERT INTO Payment VALUES ('P0179', '06-MAY-2021', 1191.00, 'CASH', 'STANDARD CHARTERED', '389126337474', '21-MAY-2021', 'B0179');
INSERT INTO Payment VALUES ('P0180', '08-MAY-2021', 3534.00, 'DEBIT CARD', 'OCBC BANK', '493155789780', '26-MAY-2021', 'B0180');
INSERT INTO Payment VALUES ('P0181', '22-MAY-2021', 1191.00, 'CASH', 'CIMB CLICKS', '849265389483', '15-JUN-2021', 'B0181');
INSERT INTO Payment VALUES ('P0182', '22-MAY-2021', 1523.00, 'CASH', 'BANK MUAMALAT', '378554972840', '22-MAY-2021', 'B0182');
INSERT INTO Payment VALUES ('P0183', '28-MAY-2021', 3971.00, 'CASH', 'BANK RAKYAT', '457855495210', '23-JUN-2021', 'B0183');
INSERT INTO Payment VALUES ('P0184', '13-JUN-2021', 2266.00, 'CREDIT CARD', 'PUBLIC BANK', '582644972620', '22-JUN-2021', 'B0184');
INSERT INTO Payment VALUES ('P0185', '16-JUN-2021', 1448.00, 'DEBIT CARD', 'BANK RAKYAT', '115994893418', '11-JUL-2021', 'B0185');
INSERT INTO Payment VALUES ('P0186', '16-JUN-2021', 1497.00, 'CASH', 'OCBC BANK', '747722081967', '25-JUN-2021', 'B0186');
INSERT INTO Payment VALUES ('P0187', '22-JUN-2021', 2752.00, 'DEBIT CARD', 'AMBANK', '201946115722', '04-JUL-2021', 'B0187');
INSERT INTO Payment VALUES ('P0188', '02-JUL-2021', 3741.00, 'CASH', 'BANK MUAMALAT', '845229325716', '10-JUL-2021', 'B0188');
INSERT INTO Payment VALUES ('P0189', '14-JUL-2021', 3599.00, 'DEBIT CARD', 'RHB BANK', '290436157460', '28-JUL-2021', 'B0189');
INSERT INTO Payment VALUES ('P0190', '17-JUL-2021', 1516.00, 'CASH', 'BSN', '824065846387', '21-JUL-2021', 'B0190');
INSERT INTO Payment VALUES ('P0191', '18-JUL-2021', 1101.00, 'DEBIT CARD', 'AFFIN BANK', '575845238249', '21-JUL-2021', 'B0191');
INSERT INTO Payment VALUES ('P0192', '24-JUL-2021', 2050.00, 'E-WALLET', 'MAYBANK', '557921787678', '23-AUG-2021', 'B0192');
INSERT INTO Payment VALUES ('P0193', '08-AUG-2021', 1668.00, 'E-WALLET', 'AFFIN BANK', '367839957081', '15-AUG-2021', 'B0193');
INSERT INTO Payment VALUES ('P0194', '17-AUG-2021', 3240.00, 'E-WALLET', 'CIMB CLICKS', '717256084093', '10-SEP-2021', 'B0194');
INSERT INTO Payment VALUES ('P0195', '02-SEP-2021', 1746.00, 'E-WALLET', 'AFFIN BANK', '992269733191', '11-SEP-2021', 'B0195');
INSERT INTO Payment VALUES ('P0196', '16-SEP-2021', 3907.00, 'CREDIT CARD', 'BANK MUAMALAT', '662995175577', '19-SEP-2021', 'B0196');
INSERT INTO Payment VALUES ('P0197', '20-SEP-2021', 1812.00, 'DEBIT CARD', 'UOB BANK', '109146939146', '22-SEP-2021', 'B0197');
INSERT INTO Payment VALUES ('P0198', '20-SEP-2021', 2216.00, 'E-WALLET', 'STANDARD CHARTERED', '148795511236', '02-OCT-2021', 'B0198');
INSERT INTO Payment VALUES ('P0199', '28-SEP-2021', 1056.00, 'DEBIT CARD', 'CIMB CLICKS', '406580974180', '13-OCT-2021', 'B0199');
INSERT INTO Payment VALUES ('P0200', '08-OCT-2021', 2937.00, 'E-WALLET', 'RHB BANK', '561161408878', '04-NOV-2021', 'B0200');
INSERT INTO Payment VALUES ('P0201', '13-OCT-2021', 2861.00, 'E-WALLET', 'AFFIN BANK', '433371497750', '17-OCT-2021', 'B0201');
INSERT INTO Payment VALUES ('P0202', '20-OCT-2021', 2881.00, 'DEBIT CARD', 'MAYBANK', '252283679896', '19-NOV-2021', 'B0202');
INSERT INTO Payment VALUES ('P0203', '21-OCT-2021', 1536.00, 'DEBIT CARD', 'PUBLIC BANK', '732174797705', '05-NOV-2021', 'B0203');
INSERT INTO Payment VALUES ('P0204', '06-NOV-2021', 1412.00, 'CREDIT CARD', 'AGROBANK', '418987595276', '24-NOV-2021', 'B0204');
INSERT INTO Payment VALUES ('P0205', '11-NOV-2021', 3774.00, 'DEBIT CARD', 'BANK RAKYAT', '325358603614', '10-DEC-2021', 'B0205');
INSERT INTO Payment VALUES ('P0206', '12-NOV-2021', 2099.00, 'CASH', 'HSBC BANK', '619744553082', '26-NOV-2021', 'B0206');
INSERT INTO Payment VALUES ('P0207', '13-NOV-2021', 1115.00, 'CASH', 'OCBC BANK', '794774559021', '20-NOV-2021', 'B0207');
INSERT INTO Payment VALUES ('P0208', '19-NOV-2021', 1250.00, 'DEBIT CARD', 'CIMB CLICKS', '407479983859', '24-NOV-2021', 'B0208');
INSERT INTO Payment VALUES ('P0209', '27-NOV-2021', 2671.00, 'DEBIT CARD', 'MAYBANK', '574752329153', '03-DEC-2021', 'B0209');
INSERT INTO Payment VALUES ('P0210', '27-NOV-2021', 3355.00, 'DEBIT CARD', 'HSBC BANK', '385561997961', '10-DEC-2021', 'B0210');
INSERT INTO Payment VALUES ('P0211', '28-NOV-2021', 1345.00, 'CASH', 'AGROBANK', '255022747473', '16-DEC-2021', 'B0211');
INSERT INTO Payment VALUES ('P0212', '14-DEC-2021', 3529.00, 'E-WALLET', 'BANK RAKYAT', '817294651643', '28-DEC-2021', 'B0212');
INSERT INTO Payment VALUES ('P0213', '20-DEC-2021', 3803.00, 'E-WALLET', 'BANK MUAMALAT', '867198909247', '22-DEC-2021', 'B0213');
INSERT INTO Payment VALUES ('P0214', '06-JAN-2022', 3290.00, 'CASH', 'MAYBANK', '165874316165', '17-JAN-2022', 'B0214');
INSERT INTO Payment VALUES ('P0215', '19-JAN-2022', 2692.00, 'DEBIT CARD', 'HONG LEONG BANK', '439611661171', '21-JAN-2022', 'B0215');
INSERT INTO Payment VALUES ('P0216', '23-JAN-2022', 2969.00, 'CASH', 'RHB BANK', '396999844109', '22-FEB-2022', 'B0216');
INSERT INTO Payment VALUES ('P0217', '01-FEB-2022', 1093.00, 'E-WALLET', 'BANK RAKYAT', '892899061168', '02-FEB-2022', 'B0217');
INSERT INTO Payment VALUES ('P0218', '05-FEB-2022', 3704.00, 'DEBIT CARD', 'PUBLIC BANK', '442021996486', '16-FEB-2022', 'B0218');
INSERT INTO Payment VALUES ('P0219', '15-FEB-2022', 2265.00, 'CREDIT CARD', 'BANK RAKYAT', '233145801318', '11-MAR-2022', 'B0219');
INSERT INTO Payment VALUES ('P0220', '26-FEB-2022', 3423.00, 'CREDIT CARD', 'STANDARD CHARTERED', '207498275360', '05-MAR-2022', 'B0220');
INSERT INTO Payment VALUES ('P0221', '06-MAR-2022', 3599.00, 'CASH', 'OCBC BANK', '531113372885', '02-APR-2022', 'B0221');
INSERT INTO Payment VALUES ('P0222', '19-MAR-2022', 3532.00, 'E-WALLET', 'UOB BANK', '154260002413', '13-APR-2022', 'B0222');
INSERT INTO Payment VALUES ('P0223', '24-MAR-2022', 2579.00, 'DEBIT CARD', 'BANK ISLAM', '509341815647', '03-APR-2022', 'B0223');
INSERT INTO Payment VALUES ('P0224', '27-MAR-2022', 1660.00, 'CREDIT CARD', 'AFFIN BANK', '344794821501', '09-APR-2022', 'B0224');
INSERT INTO Payment VALUES ('P0225', '08-APR-2022', 1774.00, 'E-WALLET', 'BANK MUAMALAT', '496442215525', '21-APR-2022', 'B0225');
INSERT INTO Payment VALUES ('P0226', '19-APR-2022', 3864.00, 'CASH', 'STANDARD CHARTERED', '808010805593', '27-APR-2022', 'B0226');
INSERT INTO Payment VALUES ('P0227', '04-MAY-2022', 3035.00, 'CREDIT CARD', 'OCBC BANK', '276840791216', '07-MAY-2022', 'B0227');
INSERT INTO Payment VALUES ('P0228', '08-MAY-2022', 3095.00, 'CREDIT CARD', 'RHB BANK', '193696534259', '23-MAY-2022', 'B0228');
INSERT INTO Payment VALUES ('P0229', '18-MAY-2022', 3724.00, 'E-WALLET', 'HSBC BANK', '145599768680', '28-MAY-2022', 'B0229');
INSERT INTO Payment VALUES ('P0230', '04-JUN-2022', 2437.00, 'CREDIT CARD', 'BSN', '890598326602', '25-JUN-2022', 'B0230');
INSERT INTO Payment VALUES ('P0231', '14-JUN-2022', 2192.00, 'CREDIT CARD', 'CIMB CLICKS', '279728364080', '23-JUN-2022', 'B0231');
INSERT INTO Payment VALUES ('P0232', '14-JUN-2022', 3544.00, 'CASH', 'AGROBANK', '874054931058', '26-JUN-2022', 'B0232');
INSERT INTO Payment VALUES ('P0233', '16-JUN-2022', 1707.00, 'DEBIT CARD', 'BANK MUAMALAT', '640030726335', '22-JUN-2022', 'B0233');
INSERT INTO Payment VALUES ('P0234', '17-JUN-2022', 2390.00, 'CREDIT CARD', 'OCBC BANK', '231591684481', '28-JUN-2022', 'B0234');
INSERT INTO Payment VALUES ('P0235', '24-JUN-2022', 1742.00, 'E-WALLET', 'CIMB CLICKS', '804317623455', '07-JUL-2022', 'B0235');
INSERT INTO Payment VALUES ('P0236', '26-JUN-2022', 1711.00, 'E-WALLET', 'BANK MUAMALAT', '671713689018', '24-JUL-2022', 'B0236');
INSERT INTO Payment VALUES ('P0237', '03-JUL-2022', 2633.00, 'DEBIT CARD', 'RHB BANK', '630348954169', '03-AUG-2022', 'B0237');
INSERT INTO Payment VALUES ('P0238', '08-JUL-2022', 3751.00, 'CREDIT CARD', 'HSBC BANK', '465296811661', '05-AUG-2022', 'B0238');
INSERT INTO Payment VALUES ('P0239', '20-JUL-2022', 1809.00, 'E-WALLET', 'AMBANK', '342030839253', '16-AUG-2022', 'B0239');
INSERT INTO Payment VALUES ('P0240', '05-AUG-2022', 1460.00, 'DEBIT CARD', 'BANK MUAMALAT', '576918643652', '13-AUG-2022', 'B0240');
INSERT INTO Payment VALUES ('P0241', '09-AUG-2022', 1538.00, 'E-WALLET', 'AMBANK', '432342767326', '08-SEP-2022', 'B0241');
INSERT INTO Payment VALUES ('P0242', '17-AUG-2022', 2461.00, 'CREDIT CARD', 'BANK RAKYAT', '322199453271', '19-AUG-2022', 'B0242');
INSERT INTO Payment VALUES ('P0243', '17-AUG-2022', 3129.00, 'CREDIT CARD', 'MAYBANK', '526260067779', '08-SEP-2022', 'B0243');
INSERT INTO Payment VALUES ('P0244', '25-AUG-2022', 3786.00, 'CREDIT CARD', 'RHB BANK', '799327794935', '25-AUG-2022', 'B0244');
INSERT INTO Payment VALUES ('P0245', '03-SEP-2022', 1133.00, 'DEBIT CARD', 'MAYBANK', '366975673807', '26-SEP-2022', 'B0245');
INSERT INTO Payment VALUES ('P0246', '11-SEP-2022', 3840.00, 'CREDIT CARD', 'PUBLIC BANK', '983862185597', '18-SEP-2022', 'B0246');
INSERT INTO Payment VALUES ('P0247', '24-SEP-2022', 2602.00, 'CASH', 'PUBLIC BANK', '549067232801', '27-SEP-2022', 'B0247');
INSERT INTO Payment VALUES ('P0248', '03-OCT-2022', 2356.00, 'E-WALLET', 'BANK ISLAM', '330133632771', '03-NOV-2022', 'B0248');
INSERT INTO Payment VALUES ('P0249', '09-OCT-2022', 1017.00, 'E-WALLET', 'PUBLIC BANK', '874114951610', '22-OCT-2022', 'B0249');
INSERT INTO Payment VALUES ('P0250', '14-OCT-2022', 2876.00, 'CASH', 'RHB BANK', '727997384393', '08-NOV-2022', 'B0250');
INSERT INTO Payment VALUES ('P0251', '26-OCT-2022', 2283.00, 'CASH', 'CIMB CLICKS', '114423387245', '22-NOV-2022', 'B0251');
INSERT INTO Payment VALUES ('P0252', '02-NOV-2022', 2971.00, 'CREDIT CARD', 'AFFIN BANK', '472430785225', '14-NOV-2022', 'B0252');
INSERT INTO Payment VALUES ('P0253', '10-NOV-2022', 3436.00, 'DEBIT CARD', 'AFFIN BANK', '598718463130', '14-NOV-2022', 'B0253');
INSERT INTO Payment VALUES ('P0254', '15-NOV-2022', 3693.00, 'E-WALLET', 'STANDARD CHARTERED', '213549631338', '02-DEC-2022', 'B0254');
INSERT INTO Payment VALUES ('P0255', '19-NOV-2022', 1363.00, 'E-WALLET', 'CIMB CLICKS', '592074749737', '14-DEC-2022', 'B0255');
INSERT INTO Payment VALUES ('P0256', '05-DEC-2022', 2073.00, 'E-WALLET', 'RHB BANK', '918416065056', '25-DEC-2022', 'B0256');
INSERT INTO Payment VALUES ('P0257', '11-DEC-2022', 1277.00, 'DEBIT CARD', 'KFH', '427947797684', '22-DEC-2022', 'B0257');
INSERT INTO Payment VALUES ('P0258', '16-DEC-2022', 3571.00, 'CREDIT CARD', 'UOB BANK', '611910284737', '07-JAN-2023', 'B0258');
INSERT INTO Payment VALUES ('P0259', '22-DEC-2022', 1431.00, 'E-WALLET', 'UOB BANK', '979349018060', '23-DEC-2022', 'B0259');
INSERT INTO Payment VALUES ('P0260', '04-JAN-2023', 3782.00, 'CASH', 'HONG LEONG BANK', '971920744184', '24-JAN-2023', 'B0260');
INSERT INTO Payment VALUES ('P0261', '10-JAN-2023', 1590.00, 'CASH', 'BANK ISLAM', '607259748290', '16-JAN-2023', 'B0261');
INSERT INTO Payment VALUES ('P0262', '15-JAN-2023', 2678.00, 'E-WALLET', 'OCBC BANK', '906340536893', '07-FEB-2023', 'B0262');
INSERT INTO Payment VALUES ('P0263', '26-JAN-2023', 2994.00, 'CREDIT CARD', 'KFH', '646871392695', '04-FEB-2023', 'B0263');
INSERT INTO Payment VALUES ('P0264', '08-FEB-2023', 3831.00, 'CREDIT CARD', 'KFH', '772278263993', '21-FEB-2023', 'B0264');
INSERT INTO Payment VALUES ('P0265', '17-FEB-2023', 1826.00, 'CASH', 'AMBANK', '994320233891', '06-MAR-2023', 'B0265');
INSERT INTO Payment VALUES ('P0266', '19-FEB-2023', 3344.00, 'CREDIT CARD', 'BSN', '268781413502', '26-FEB-2023', 'B0266');
INSERT INTO Payment VALUES ('P0267', '27-FEB-2023', 3933.00, 'CREDIT CARD', 'BANK MUAMALAT', '516256905816', '02-MAR-2023', 'B0267');
INSERT INTO Payment VALUES ('P0268', '01-MAR-2023', 2870.00, 'DEBIT CARD', 'RHB BANK', '970511899260', '15-MAR-2023', 'B0268');
INSERT INTO Payment VALUES ('P0269', '06-MAR-2023', 2809.00, 'CREDIT CARD', 'AGROBANK', '158870388360', '10-MAR-2023', 'B0269');
INSERT INTO Payment VALUES ('P0270', '16-MAR-2023', 1540.00, 'E-WALLET', 'UOB BANK', '506325425189', '01-APR-2023', 'B0270');
INSERT INTO Payment VALUES ('P0271', '25-MAR-2023', 1044.00, 'DEBIT CARD', 'BANK RAKYAT', '404852039226', '22-APR-2023', 'B0271');
INSERT INTO Payment VALUES ('P0272', '05-APR-2023', 3953.00, 'DEBIT CARD', 'AFFIN BANK', '353114059456', '17-APR-2023', 'B0272');
INSERT INTO Payment VALUES ('P0273', '16-APR-2023', 3795.00, 'CREDIT CARD', 'BANK ISLAM', '459190445495', '08-MAY-2023', 'B0273');
INSERT INTO Payment VALUES ('P0274', '26-APR-2023', 2130.00, 'CASH', 'OCBC BANK', '338387917272', '21-MAY-2023', 'B0274');
INSERT INTO Payment VALUES ('P0275', '02-MAY-2023', 3257.00, 'CREDIT CARD', 'KFH', '458540789954', '03-MAY-2023', 'B0275');
INSERT INTO Payment VALUES ('P0276', '07-MAY-2023', 1263.00, 'E-WALLET', 'KFH', '272292335750', '18-MAY-2023', 'B0276');
INSERT INTO Payment VALUES ('P0277', '15-MAY-2023', 1655.00, 'CREDIT CARD', 'AMBANK', '335220476258', '22-MAY-2023', 'B0277');
INSERT INTO Payment VALUES ('P0278', '28-MAY-2023', 2890.00, 'CREDIT CARD', 'CIMB CLICKS', '542275682002', '24-JUN-2023', 'B0278');
INSERT INTO Payment VALUES ('P0279', '01-JUN-2023', 3172.00, 'CREDIT CARD', 'BSN', '618866995194', '10-JUN-2023', 'B0279');
INSERT INTO Payment VALUES ('P0280', '02-JUN-2023', 2903.00, 'DEBIT CARD', 'KFH', '538083458469', '22-JUN-2023', 'B0280');
INSERT INTO Payment VALUES ('P0281', '08-JUN-2023', 3693.00, 'CASH', 'CIMB CLICKS', '146215043073', '18-JUN-2023', 'B0281');
INSERT INTO Payment VALUES ('P0282', '17-JUN-2023', 1729.00, 'DEBIT CARD', 'BANK ISLAM', '214960745552', '09-JUL-2023', 'B0282');
INSERT INTO Payment VALUES ('P0283', '03-JUL-2023', 2764.00, 'CASH', 'UOB BANK', '255293637065', '27-JUL-2023', 'B0283');
INSERT INTO Payment VALUES ('P0284', '15-JUL-2023', 2101.00, 'DEBIT CARD', 'UOB BANK', '249863986869', '15-JUL-2023', 'B0284');
INSERT INTO Payment VALUES ('P0285', '18-JUL-2023', 2826.00, 'CASH', 'KFH', '256350886522', '12-AUG-2023', 'B0285');
INSERT INTO Payment VALUES ('P0286', '28-JUL-2023', 1472.00, 'DEBIT CARD', 'BSN', '258066511492', '16-AUG-2023', 'B0286');
INSERT INTO Payment VALUES ('P0287', '08-AUG-2023', 3169.00, 'CASH', 'HONG LEONG BANK', '979853486615', '08-AUG-2023', 'B0287');
INSERT INTO Payment VALUES ('P0288', '11-AUG-2023', 2764.00, 'CREDIT CARD', 'MAYBANK', '242022621902', '20-AUG-2023', 'B0288');
INSERT INTO Payment VALUES ('P0289', '22-AUG-2023', 2892.00, 'DEBIT CARD', 'HSBC BANK', '571749172888', '07-SEP-2023', 'B0289');
INSERT INTO Payment VALUES ('P0290', '26-AUG-2023', 2076.00, 'DEBIT CARD', 'RHB BANK', '861979322389', '05-SEP-2023', 'B0290');
INSERT INTO Payment VALUES ('P0291', '06-SEP-2023', 2166.00, 'CREDIT CARD', 'KFH', '163061526589', '19-SEP-2023', 'B0291');
INSERT INTO Payment VALUES ('P0292', '16-SEP-2023', 3169.00, 'CASH', 'UOB BANK', '961014903681', '12-OCT-2023', 'B0292');
INSERT INTO Payment VALUES ('P0293', '25-SEP-2023', 3886.00, 'CREDIT CARD', 'HSBC BANK', '103716338840', '21-OCT-2023', 'B0293');
INSERT INTO Payment VALUES ('P0294', '28-SEP-2023', 2656.00, 'DEBIT CARD', 'MAYBANK', '929094616203', '14-OCT-2023', 'B0294');
INSERT INTO Payment VALUES ('P0295', '11-OCT-2023', 2694.00, 'CREDIT CARD', 'BANK ISLAM', '764087179890', '19-OCT-2023', 'B0295');
INSERT INTO Payment VALUES ('P0296', '17-OCT-2023', 3755.00, 'DEBIT CARD', 'BANK MUAMALAT', '665133861245', '27-OCT-2023', 'B0296');
INSERT INTO Payment VALUES ('P0297', '21-OCT-2023', 3419.00, 'E-WALLET', 'MAYBANK', '105832501283', '11-NOV-2023', 'B0297');
INSERT INTO Payment VALUES ('P0298', '05-NOV-2023', 1971.00, 'CREDIT CARD', 'UOB BANK', '450419995287', '28-NOV-2023', 'B0298');
INSERT INTO Payment VALUES ('P0299', '10-NOV-2023', 1822.00, 'DEBIT CARD', 'HONG LEONG BANK', '854012054118', '07-DEC-2023', 'B0299');
INSERT INTO Payment VALUES ('P0300', '23-NOV-2023', 1604.00, 'CREDIT CARD', 'OCBC BANK', '248149351098', '14-DEC-2023', 'B0300');
